ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300623.SZ,20190222,27.88,28.85,27.7,28.85,27.8,1.05,3.777,46029.35,131011.605
300623.SZ,20190225,29.57,30.5,28.6,30.08,28.85,1.23,4.2634,75916.04,224830.444
300623.SZ,20190226,30.08,30.47,29.0,29.39,30.08,-0.69,-2.2939,66548.93,196754.562
300623.SZ,20190227,30.84,31.68,29.65,30.2,29.39,0.81,2.756,95439.52,291697.262
300623.SZ,20190228,30.2,30.2,29.51,29.89,30.2,-0.31,-1.0265,39473.04,117586.914
300623.SZ,20190301,29.99,30.69,29.71,30.54,29.89,0.65,2.1746,41732.57,126223.179
300623.SZ,20190304,30.74,32.06,30.55,30.59,30.54,0.05,0.1637,78628.51,246772.88
300623.SZ,20190305,30.28,31.86,30.04,31.86,30.59,1.27,4.1517,69013.39,214527.159
300623.SZ,20190306,32.77,33.59,31.87,32.89,31.86,1.03,3.2329,80616.94,263373.714
300623.SZ,20190307,32.38,35.46,32.17,34.74,32.89,1.85,5.6248,83890.42,284126.534
300623.SZ,20190308,32.31,37.99,32.31,35.81,34.74,1.07,3.08,116404.66,417692.671
300623.SZ,20190311,37.6,38.26,36.51,37.29,35.81,1.48,4.1329,92423.74,345044.823
300623.SZ,20190312,37.5,37.79,36.11,37.42,37.29,0.13,0.3486,87777.89,325405.199
300623.SZ,20190313,37.14,39.66,36.63,37.0,37.42,-0.42,-1.1224,94081.72,358425.694
300623.SZ,20190314,36.39,36.64,34.37,34.82,37.0,-2.18,-5.8919,70450.1,247031.919
300623.SZ,20190315,34.86,35.29,34.1,35.23,34.82,0.41,1.1775,50330.22,174950.182
300623.SZ,20190318,35.05,36.79,34.88,36.51,35.23,1.28,3.6333,43790.39,157742.251
300623.SZ,20190319,36.68,37.4,36.02,37.0,36.51,0.49,1.3421,40785.18,149793.921
300623.SZ,20190320,36.68,36.69,34.51,35.47,37.0,-1.53,-4.1351,60305.88,214302.583
300623.SZ,20190321,35.59,36.11,35.07,35.66,35.47,0.19,0.5357,49247.49,175714.4
300623.SZ,20190322,35.69,35.97,35.05,35.65,35.66,-0.01,-0.028,37009.69,131470.586
300623.SZ,20190325,34.88,37.0,34.6,36.28,35.65,0.63,1.7672,53629.56,193807.509
300623.SZ,20190326,36.26,36.48,34.68,34.99,36.28,-1.29,-3.5557,45784.92,162094.37
300623.SZ,20190327,35.01,35.43,33.15,34.29,34.99,-0.7,-2.0006,47842.84,162752.304
300623.SZ,20190328,33.7,35.23,33.51,33.99,34.29,-0.3,-0.8749,37234.51,128631.415
300623.SZ,20190329,33.66,35.44,33.55,35.4,33.99,1.41,4.1483,42365.07,146084.458
300623.SZ,20190401,35.04,37.4,35.04,37.3,35.4,1.9,5.3672,77563.15,282012.069
300623.SZ,20190402,37.3,37.59,36.74,37.01,37.3,-0.29,-0.7775,54411.17,201992.154
300623.SZ,20190403,36.95,36.95,35.76,36.51,37.01,-0.5,-1.351,70213.27,254813.7
300623.SZ,20190404,36.57,36.84,36.02,36.59,36.51,0.08,0.2191,35649.37,129909.328
300623.SZ,20190408,36.64,36.7,34.8,35.44,36.59,-1.15,-3.1429,40402.81,144091.565
300623.SZ,20190409,35.18,36.2,35.15,35.78,35.44,0.34,0.9594,27768.69,99399.983
300623.SZ,20190410,35.3,35.67,35.0,35.11,35.78,-0.67,-1.8726,25950.53,91612.022
300623.SZ,20190411,23.25,24.19,22.1,22.17,23.21,-1.04,-4.4808,62680.3,144436.901
300623.SZ,20190412,22.06,22.44,21.97,22.3,22.17,0.13,0.5864,33586.88,74619.892
300623.SZ,20190415,22.52,23.24,22.2,22.24,22.3,-0.06,-0.2691,42696.25,97095.605
300623.SZ,20190416,21.75,22.69,21.4,22.65,22.24,0.41,1.8435,50396.81,110619.034
300623.SZ,20190417,22.66,22.99,22.37,22.6,22.65,-0.05,-0.2208,38172.0,86321.875
300623.SZ,20190418,22.56,22.68,22.0,22.13,22.6,-0.47,-2.0796,29395.23,65403.726
300623.SZ,20190419,22.13,22.29,21.67,22.01,22.13,-0.12,-0.5423,34186.3,74872.997
300623.SZ,20190422,22.15,22.5,21.8,21.86,22.01,-0.15,-0.6815,35272.25,77985.806
300623.SZ,20190423,21.73,22.0,21.42,21.46,21.86,-0.4,-1.8298,24121.75,52210.159
300623.SZ,20190424,21.47,22.08,21.2,21.94,21.46,0.48,2.2367,31895.9,69125.508
300623.SZ,20190425,21.84,22.0,20.2,20.4,21.94,-1.54,-7.0191,44619.28,94636.977
300623.SZ,20190426,20.3,20.7,19.89,19.96,20.4,-0.44,-2.1569,40413.1,82363.995
300623.SZ,20190429,20.02,20.37,19.46,19.89,19.96,-0.07,-0.3507,45387.5,90392.611
300623.SZ,20190430,19.87,20.28,19.71,19.98,19.89,0.09,0.4525,25741.73,51620.446
300623.SZ,20190506,19.18,19.2,17.98,17.98,19.98,-2.0,-10.01,49585.45,91042.333
300623.SZ,20190507,17.8,18.16,17.35,17.76,17.98,-0.22,-1.2236,43883.14,77993.789
300623.SZ,20190508,17.31,18.48,17.17,17.94,17.76,0.18,1.0135,42103.75,75677.759
300623.SZ,20190509,17.68,19.2,17.58,18.4,17.94,0.46,2.5641,53535.83,99466.134
300623.SZ,20190510,18.74,19.45,17.77,19.31,18.4,0.91,4.9457,71656.92,135443.98
300623.SZ,20190513,19.2,19.37,18.7,18.94,19.31,-0.37,-1.9161,43171.34,82092.928
300623.SZ,20190514,18.69,19.05,18.35,18.45,18.94,-0.49,-2.5871,37906.05,70750.874
300623.SZ,20190515,18.7,18.88,18.5,18.8,18.45,0.35,1.897,28627.15,53523.764
300623.SZ,20190516,18.73,18.75,18.4,18.69,18.8,-0.11,-0.5851,22929.15,42660.891
300623.SZ,20190517,18.9,19.37,18.56,18.7,18.69,0.01,0.0535,69190.25,131788.682
300623.SZ,20190520,19.3,19.92,19.03,19.66,18.7,0.96,5.1337,88424.67,172701.394
300623.SZ,20190521,19.26,20.25,18.9,20.12,19.66,0.46,2.3398,83152.26,162384.563
300623.SZ,20190522,20.1,20.55,19.74,20.54,20.12,0.42,2.0875,87240.01,175892.966
300623.SZ,20190523,20.96,21.05,19.88,19.94,20.54,-0.6,-2.9211,82656.65,169118.173
300623.SZ,20190524,19.53,19.75,18.5,18.51,19.94,-1.43,-7.1715,62353.6,118049.103
300623.SZ,20190527,18.29,19.75,18.29,19.56,18.51,1.05,5.6726,60691.42,116754.36
300623.SZ,20190528,19.69,19.94,19.37,19.59,19.56,0.03,0.1534,51688.17,101419.685
300623.SZ,20190529,19.52,21.55,19.4,21.55,19.59,1.96,10.0051,85052.76,176737.579
300623.SZ,20190530,22.0,22.55,21.12,21.96,21.55,0.41,1.9026,192963.15,422981.639
300623.SZ,20190531,21.49,22.79,21.25,21.55,21.96,-0.41,-1.867,135913.94,299225.459
300623.SZ,20190603,21.74,22.2,21.23,22.03,21.55,0.48,2.2274,99888.4,217268.715
300623.SZ,20190604,21.62,21.62,19.83,20.34,22.03,-1.69,-7.6714,113017.83,233286.82
300623.SZ,20190605,20.74,20.89,20.13,20.44,20.34,0.1,0.4916,69150.43,142206.745
300623.SZ,20190606,20.2,20.4,19.51,19.62,20.44,-0.82,-4.0117,58710.34,116566.971
300623.SZ,20190610,19.88,20.78,19.6,20.73,19.62,1.11,5.6575,65946.89,134576.457
300623.SZ,20190611,20.6,21.56,20.15,21.49,20.73,0.76,3.6662,99552.56,209290.975
300623.SZ,20190612,21.29,21.97,21.12,21.66,21.49,0.17,0.7911,92794.38,199826.215
300623.SZ,20190613,21.6,21.96,21.22,21.22,21.66,-0.44,-2.0314,58041.84,124875.086
300623.SZ,20190614,21.15,21.45,20.39,20.43,21.22,-0.79,-3.7229,49406.99,103013.733
300623.SZ,20190617,20.34,20.89,20.17,20.44,20.43,0.01,0.0489,28084.35,57701.533
300623.SZ,20190618,20.3,20.57,19.94,20.02,20.44,-0.42,-2.0548,31943.3,64401.868
300623.SZ,20190619,20.7,22.02,20.37,22.02,20.02,2.0,9.99,120349.18,258665.24
300623.SZ,20190620,21.45,22.17,21.09,21.88,22.02,-0.14,-0.6358,131688.37,284604.513
300623.SZ,20190621,21.83,23.2,21.65,21.92,21.88,0.04,0.1828,128363.59,285560.93
300623.SZ,20190624,22.17,22.68,21.9,22.48,21.92,0.56,2.5547,109208.15,243961.948
300623.SZ,20190625,22.15,22.23,21.51,21.85,22.48,-0.63,-2.8025,68061.78,148761.011
300623.SZ,20190626,21.9,22.95,21.71,22.53,21.85,0.68,3.1121,116687.9,263510.048
300623.SZ,20190627,22.49,23.99,22.2,23.21,22.53,0.68,3.0182,180742.99,417539.893
300623.SZ,20190628,22.8,23.07,22.22,22.62,23.21,-0.59,-2.542,88999.53,201654.058
300623.SZ,20190701,23.16,23.45,22.72,23.17,22.62,0.55,2.4315,129537.07,299453.231
300623.SZ,20190702,22.99,23.13,22.43,22.92,23.17,-0.25,-1.079,79631.6,181126.468
300623.SZ,20190703,22.61,22.91,21.95,22.13,22.92,-0.79,-3.4468,63230.52,141883.811
300623.SZ,20190704,20.82,20.82,19.92,19.92,22.13,-2.21,-9.9864,112707.89,226909.709
300623.SZ,20190705,19.29,19.96,19.29,19.65,19.92,-0.27,-1.3554,77094.37,151354.969
300623.SZ,20190708,19.49,19.94,18.6,19.0,19.65,-0.65,-3.3079,65421.4,126055.579
300623.SZ,20190709,19.04,19.19,18.62,19.12,19.0,0.12,0.6316,45132.91,85544.233
300623.SZ,20190710,19.11,19.2,18.74,18.89,19.12,-0.23,-1.2029,33944.65,64364.147
300623.SZ,20190711,19.05,19.1,18.41,18.63,18.89,-0.26,-1.3764,37017.74,69470.657
300623.SZ,20190712,18.71,18.98,18.6,18.85,18.63,0.22,1.1809,35714.16,67151.107
300623.SZ,20190715,18.83,19.5,18.63,19.35,18.85,0.5,2.6525,46857.39,90006.067
300623.SZ,20190716,19.27,19.78,19.13,19.56,19.35,0.21,1.0853,41572.97,80967.804
300623.SZ,20190717,19.91,20.53,19.77,19.84,19.56,0.28,1.4315,77266.7,155736.16
300623.SZ,20190718,19.38,19.56,19.06,19.16,19.84,-0.68,-3.4274,40899.82,78893.505
300623.SZ,20190719,19.3,19.45,19.15,19.29,19.16,0.13,0.6785,24738.31,47746.962
300623.SZ,20190722,19.47,19.6,18.38,18.61,19.29,-0.68,-3.5251,40065.75,75403.099
300623.SZ,20190723,18.53,19.27,18.52,19.26,18.61,0.65,3.4927,41013.16,78279.463
300623.SZ,20190724,19.29,19.77,19.2,19.57,19.26,0.31,1.6096,53380.32,104486.314
300623.SZ,20190725,19.73,20.1,19.57,19.71,19.57,0.14,0.7154,57473.05,113848.343
300623.SZ,20190726,19.75,19.92,19.53,19.81,19.71,0.1,0.5074,36906.25,72892.367
300623.SZ,20190729,19.57,20.1,19.57,19.81,19.81,0.0,0.0,42892.1,84998.263
300623.SZ,20190730,19.53,20.04,19.49,19.98,19.81,0.17,0.8582,58740.49,116644.57
300623.SZ,20190731,19.85,20.06,19.61,19.69,19.98,-0.29,-1.4515,42465.44,84043.53
300623.SZ,20190801,19.59,19.87,19.55,19.73,19.69,0.04,0.2031,30723.19,60544.458
300623.SZ,20190802,19.37,19.54,19.01,19.38,19.73,-0.35,-1.7739,46839.82,90362.566
300623.SZ,20190805,19.35,19.8,19.1,19.11,19.38,-0.27,-1.3932,40229.34,78185.86
300623.SZ,20190806,18.6,18.84,18.03,18.75,19.11,-0.36,-1.8838,49705.4,92083.033
300623.SZ,20190807,18.88,18.9,17.71,17.72,18.75,-1.03,-5.4933,61612.82,111865.425
300623.SZ,20190808,17.8,18.55,17.8,18.48,17.72,0.76,4.2889,52349.68,95686.004
300623.SZ,20190809,18.52,18.96,18.05,18.15,18.48,-0.33,-1.7857,48145.8,89138.902
300623.SZ,20190812,18.47,18.89,18.2,18.88,18.15,0.73,4.022,45835.95,85057.347
300623.SZ,20190813,18.65,19.15,18.53,19.0,18.88,0.12,0.6356,42463.0,80205.784
300623.SZ,20190814,19.3,19.68,19.13,19.28,19.0,0.28,1.4737,59194.99,114778.083
300623.SZ,20190815,18.78,19.85,18.61,19.72,19.28,0.44,2.2822,56747.1,109799.903
300623.SZ,20190816,19.67,19.89,19.55,19.63,19.72,-0.09,-0.4564,43087.15,84987.88
300623.SZ,20190819,19.8,20.48,19.65,20.33,19.63,0.7,3.566,69795.44,140598.352
300623.SZ,20190820,20.38,20.72,20.07,20.14,20.33,-0.19,-0.9346,57190.8,116326.497
300623.SZ,20190821,19.9,20.44,19.83,20.25,20.14,0.11,0.5462,52464.1,105786.734
300623.SZ,20190822,20.24,20.56,20.0,20.31,20.25,0.06,0.2963,50195.09,102054.999
300623.SZ,20190823,20.35,20.4,19.85,19.91,20.31,-0.4,-1.9695,42331.3,84960.655
300623.SZ,20190826,19.55,20.1,19.27,19.94,19.91,0.03,0.1507,38630.2,76243.401
300623.SZ,20190827,20.1,20.47,19.98,20.45,19.94,0.51,2.5577,54691.15,110972.408
300623.SZ,20190828,20.47,20.47,20.06,20.18,20.45,-0.27,-1.3203,43654.25,88260.293
300623.SZ,20190829,20.21,20.38,19.81,20.04,20.18,-0.14,-0.6938,35282.5,70947.291
300623.SZ,20190830,20.28,20.92,20.0,20.43,20.04,0.39,1.9461,119744.9,245647.851
300623.SZ,20190902,20.45,21.57,20.45,21.27,20.43,0.84,4.1116,113123.57,238196.25
300623.SZ,20190903,21.3,22.38,21.03,22.14,21.27,0.87,4.0903,144973.48,314865.163
300623.SZ,20190904,22.0,22.36,21.57,22.3,22.14,0.16,0.7227,114567.95,251583.434
300623.SZ,20190905,22.31,22.68,21.92,21.95,22.3,-0.35,-1.5695,124741.12,277044.355
300623.SZ,20190906,21.95,22.15,21.57,21.8,21.95,-0.15,-0.6834,76444.73,166809.014
300623.SZ,20190909,21.95,23.14,21.8,23.04,21.8,1.24,5.6881,132286.38,298545.287
300623.SZ,20190910,23.09,23.3,22.43,23.05,23.04,0.01,0.0434,102775.55,234950.034
300623.SZ,20190911,23.2,23.47,22.81,22.87,23.05,-0.18,-0.7809,81852.91,188971.968
300623.SZ,20190912,22.9,23.3,22.63,22.77,22.87,-0.1,-0.4373,70823.03,162170.868
300623.SZ,20190916,22.86,23.05,22.48,22.82,22.77,0.05,0.2196,67701.5,154464.331
300623.SZ,20190917,22.51,22.62,21.45,21.67,22.82,-1.15,-5.0394,98238.62,215133.054
300623.SZ,20190918,21.95,22.04,21.64,21.79,21.67,0.12,0.5538,47105.35,102961.672
300623.SZ,20190919,21.87,22.66,21.72,22.55,21.79,0.76,3.4878,84504.9,188451.448
300623.SZ,20190920,22.65,23.13,22.38,22.99,22.55,0.44,1.9512,102436.85,233589.721
300623.SZ,20190923,23.05,23.33,22.58,23.26,22.99,0.27,1.1744,97447.54,223690.926
300623.SZ,20190924,23.26,24.1,22.92,23.46,23.26,0.2,0.8598,158922.74,373366.517
300623.SZ,20190925,22.99,22.99,22.01,22.1,23.46,-1.36,-5.7971,101103.92,227297.374
300623.SZ,20190926,22.32,22.42,20.7,20.78,22.1,-1.32,-5.9729,76883.77,165224.946
300623.SZ,20190927,20.78,21.49,20.5,21.32,20.78,0.54,2.5987,54814.36,116480.245
300623.SZ,20190930,21.44,21.84,21.0,21.11,21.32,-0.21,-0.985,42639.72,91060.717
300623.SZ,20191008,20.8,21.35,20.51,20.62,21.11,-0.49,-2.3212,40464.15,84435.719
300623.SZ,20191009,20.43,21.42,20.4,21.42,20.62,0.8,3.8797,52075.05,109436.172
300623.SZ,20191010,21.36,21.65,21.15,21.43,21.42,0.01,0.0467,47891.4,102320.818
300623.SZ,20191011,21.38,21.56,20.9,21.05,21.43,-0.38,-1.7732,45433.4,96134.968
300623.SZ,20191014,21.35,21.64,21.15,21.48,21.05,0.43,2.0428,39818.65,85339.945
300623.SZ,20191015,21.23,21.46,20.74,21.26,21.48,-0.22,-1.0242,43306.05,91281.409
300623.SZ,20191016,21.32,21.4,20.83,20.95,21.26,-0.31,-1.4581,27630.64,58183.432
300623.SZ,20191017,20.82,21.23,20.8,20.81,20.95,-0.14,-0.6683,21744.2,45589.427
300623.SZ,20191018,20.81,21.17,20.1,20.42,20.81,-0.39,-1.8741,36764.42,76127.048
300623.SZ,20191021,20.39,20.39,19.49,19.95,20.42,-0.47,-2.3017,45136.7,89435.149
300623.SZ,20191022,20.0,20.45,19.92,20.38,19.95,0.43,2.1554,37065.45,74965.942
300623.SZ,20191023,20.38,20.69,20.23,20.39,20.38,0.01,0.0491,27521.02,56307.091
300623.SZ,20191024,20.36,20.55,20.16,20.44,20.39,0.05,0.2452,19474.85,39738.085
300623.SZ,20191025,20.38,20.66,19.96,20.59,20.44,0.15,0.7339,27922.35,56746.007
300623.SZ,20191028,20.8,21.3,20.52,21.3,20.59,0.71,3.4483,45401.05,95657.139
300623.SZ,20191029,21.2,21.54,20.75,20.75,21.3,-0.55,-2.5822,39126.96,82492.734
300623.SZ,20191030,20.75,21.4,20.47,21.0,20.75,0.25,1.2048,44813.75,94169.783
300623.SZ,20191031,21.0,21.28,20.78,21.04,21.0,0.04,0.1905,33000.6,69353.871
300623.SZ,20191101,21.0,21.79,20.86,21.73,21.04,0.69,3.2795,70034.92,150030.988
300623.SZ,20191104,21.7,21.8,21.46,21.58,21.73,-0.15,-0.6903,49544.74,107127.732
300623.SZ,20191105,21.52,21.94,21.5,21.67,21.58,0.09,0.4171,42975.45,93192.843
300623.SZ,20191106,21.62,21.71,21.01,21.08,21.67,-0.59,-2.7227,49453.63,105308.799
300623.SZ,20191107,21.02,21.42,20.91,21.39,21.08,0.31,1.4706,37075.19,78690.088
300623.SZ,20191108,21.4,21.98,21.4,21.86,21.39,0.47,2.1973,76065.27,165493.122
300623.SZ,20191111,21.52,21.68,20.25,20.5,21.86,-1.36,-6.2214,65019.55,136201.536
300623.SZ,20191112,20.63,20.65,19.93,20.26,20.5,-0.24,-1.1707,39558.24,80110.305
300623.SZ,20191113,20.21,20.58,19.87,20.28,20.26,0.02,0.0987,34497.06,69895.365
300623.SZ,20191114,20.31,22.31,20.2,22.31,20.28,2.03,10.0099,116144.95,253105.405
300623.SZ,20191115,22.63,22.9,21.81,21.81,22.31,-0.5,-2.2411,180970.52,404756.164
300623.SZ,20191118,21.91,22.39,21.65,22.08,21.81,0.27,1.238,92619.32,203755.877
300623.SZ,20191119,21.87,22.74,21.83,22.67,22.08,0.59,2.6721,138043.27,308461.281
300623.SZ,20191120,22.34,22.65,22.08,22.27,22.67,-0.4,-1.7644,92950.67,207823.725
300623.SZ,20191121,22.01,22.87,21.91,22.85,22.27,0.58,2.6044,116641.02,263829.532
300623.SZ,20191122,22.7,23.25,22.0,22.37,22.85,-0.48,-2.1007,111873.53,252702.146
300623.SZ,20191125,22.42,22.45,21.59,22.31,22.37,-0.06,-0.2682,73685.14,162516.182
300623.SZ,20191126,22.44,23.58,22.3,22.41,22.31,0.1,0.4482,110723.23,252460.58
300623.SZ,20191127,21.93,24.5,21.92,23.56,22.41,1.15,5.1316,229989.87,539039.977
300623.SZ,20191128,23.31,23.63,23.03,23.18,23.56,-0.38,-1.6129,113233.81,263564.911
300623.SZ,20191129,23.24,24.85,23.24,24.31,23.18,1.13,4.8749,227008.15,550204.596
300623.SZ,20191202,24.31,26.6,24.02,25.88,24.31,1.57,6.4582,251306.05,642015.306
300623.SZ,20191203,25.51,26.18,25.02,26.18,25.88,0.3,1.1592,169263.3,434535.426
300623.SZ,20191204,26.05,26.08,25.37,25.65,26.18,-0.53,-2.0244,131917.86,338722.318
300623.SZ,20191205,25.57,26.36,25.5,25.76,25.65,0.11,0.4288,156609.71,406034.622
300623.SZ,20191206,25.38,26.59,25.05,26.5,25.76,0.74,2.8727,155805.21,399155.723
300623.SZ,20191209,26.39,27.82,25.58,25.63,26.5,-0.87,-3.283,212864.35,565422.029
300623.SZ,20191210,25.4,28.08,25.33,27.71,25.63,2.08,8.1155,222896.38,598717.032
300623.SZ,20191211,27.38,27.8,26.56,27.35,27.71,-0.36,-1.2992,162670.07,441976.443
300623.SZ,20191212,27.21,29.95,27.04,28.65,27.35,1.3,4.7532,229893.23,658977.563
300623.SZ,20191213,28.95,30.0,28.08,29.27,28.65,0.62,2.164,189352.14,549494.328
300623.SZ,20191216,28.82,30.51,28.61,30.1,29.27,0.83,2.8357,180977.83,537042.843
300623.SZ,20191217,29.88,30.19,29.08,29.69,30.1,-0.41,-1.3621,149490.48,442242.116
300623.SZ,20191218,29.32,30.2,28.5,29.03,29.69,-0.66,-2.223,167843.34,488954.206
300623.SZ,20191219,28.73,28.98,28.05,28.58,29.03,-0.45,-1.5501,111350.51,317214.369
300623.SZ,20191220,28.59,29.1,28.3,28.43,28.58,-0.15,-0.5248,104561.67,300428.017
300623.SZ,20191223,27.3,27.3,25.69,26.0,28.43,-2.43,-8.5473,146295.6,385377.29
300623.SZ,20191224,26.09,26.8,25.59,26.66,26.0,0.66,2.5385,109986.6,289085.572
300623.SZ,20191225,26.48,28.2,26.26,27.41,26.66,0.75,2.8132,145849.26,401352.314
300623.SZ,20191226,27.34,27.77,26.53,27.3,27.41,-0.11,-0.4013,115985.65,313702.953
300623.SZ,20191227,27.23,27.26,26.05,26.06,27.3,-1.24,-4.5421,108327.99,288286.76
300623.SZ,20191230,25.89,26.71,24.76,26.27,26.06,0.21,0.8058,91571.72,238083.402
300623.SZ,20191231,26.3,26.9,26.02,26.32,26.27,0.05,0.1903,67701.41,178559.62
300623.SZ,20200102,26.69,28.3,26.6,27.65,26.32,1.33,5.0532,137190.22,378856.842
300623.SZ,20200103,27.67,28.12,27.43,27.78,27.65,0.13,0.4702,101003.5,280862.2
300623.SZ,20200106,27.3,28.86,27.11,28.32,27.78,0.54,1.9438,120844.81,341332.67
300623.SZ,20200107,28.33,28.58,27.85,28.3,28.32,-0.02,-0.0706,88431.7,248681.295
300623.SZ,20200108,28.0,28.04,26.6,26.86,28.3,-1.44,-5.0883,113038.13,309403.815
300623.SZ,20200109,27.31,28.2,27.31,27.82,26.86,0.96,3.5741,83376.32,231475.778
300623.SZ,20200110,28.14,28.64,27.7,28.4,27.82,0.58,2.0848,106976.97,302376.386
300623.SZ,20200113,29.0,31.24,28.84,31.24,28.4,2.84,10.0,191406.04,579160.006
300623.SZ,20200114,33.0,34.36,32.8,34.36,31.24,3.12,9.9872,222916.59,749311.965
300623.SZ,20200115,34.0,36.98,33.06,35.16,34.36,0.8,2.3283,278796.93,951610.291
300623.SZ,20200116,34.99,36.5,33.79,34.27,35.16,-0.89,-2.5313,227552.31,789486.995
300623.SZ,20200117,34.26,35.69,34.06,34.62,34.27,0.35,1.0213,176115.62,613872.033
300623.SZ,20200120,34.62,34.9,31.16,33.86,34.62,-0.76,-2.1953,191149.61,638181.335
300623.SZ,20200121,34.39,35.96,33.1,34.66,33.86,0.8,2.3627,162704.88,565644.792
300623.SZ,20200122,34.52,38.13,34.03,38.13,34.66,3.47,10.0115,162238.27,591451.978
300623.SZ,20200123,38.0,41.94,37.01,39.93,38.13,1.8,4.7207,272275.6,1084008.367
300623.SZ,20200203,35.94,35.94,35.94,35.94,39.93,-3.99,-9.9925,15821.0,56860.674
300623.SZ,20200204,33.0,39.53,33.0,39.43,35.94,3.49,9.7106,221926.89,830582.659
300623.SZ,20200205,38.54,41.5,37.29,37.89,39.43,-1.54,-3.9057,269821.79,1060370.824
300623.SZ,20200206,36.5,39.18,36.03,38.58,37.89,0.69,1.8211,206944.56,777287.304
300623.SZ,20200207,38.23,42.44,37.3,42.44,38.58,3.86,10.0052,265470.59,1069256.203
300623.SZ,20200210,43.8,43.8,40.66,41.93,42.44,-0.51,-1.2017,229971.83,970634.421
300623.SZ,20200211,41.5,44.87,41.03,41.89,41.93,-0.04,-0.0954,218219.43,934355.505
300623.SZ,20200212,41.28,46.0,41.28,44.76,41.89,2.87,6.8513,247832.13,1086402.514
300623.SZ,20200213,44.4,45.93,43.16,44.02,44.76,-0.74,-1.6533,226824.66,1009436.275
300623.SZ,20200214,43.67,45.75,42.19,43.4,44.02,-0.62,-1.4085,216257.15,953785.968
300623.SZ,20200217,43.86,44.4,42.32,44.4,43.4,1.0,2.3041,176283.86,767086.272
300623.SZ,20200218,43.8,47.79,43.55,47.3,44.4,2.9,6.5315,236632.59,1079475.603
300623.SZ,20200219,46.24,48.9,44.85,45.56,47.3,-1.74,-3.6786,206705.44,965440.818
300623.SZ,20200220,45.62,46.53,43.2,45.26,45.56,-0.3,-0.6585,154977.74,694802.644
300623.SZ,20200221,44.99,46.86,44.5,45.42,45.26,0.16,0.3535,169223.28,769680.386
300623.SZ,20200224,44.27,46.6,43.91,46.6,45.42,1.18,2.598,194121.04,884919.578
300623.SZ,20200225,45.0,46.1,42.0,44.49,46.6,-2.11,-4.5279,192378.6,855612.238
300623.SZ,20200226,43.8,44.4,40.04,40.04,44.49,-4.45,-10.0022,203032.08,840651.871
300623.SZ,20200227,39.6,40.87,38.3,39.02,40.04,-1.02,-2.5475,111529.15,440495.389
300623.SZ,20200228,36.37,37.22,35.12,35.12,39.02,-3.9,-9.9949,163434.79,587622.841
300623.SZ,20200302,36.5,37.14,35.43,36.63,35.12,1.51,4.2995,160348.26,582774.035
300623.SZ,20200303,39.0,40.29,38.0,39.15,36.63,2.52,6.8796,265757.51,1046595.209
300623.SZ,20200304,38.43,38.43,35.85,37.18,39.15,-1.97,-5.0319,168999.96,625205.41
300623.SZ,20200305,37.9,38.38,36.5,37.4,37.18,0.22,0.5917,119025.85,442915.023
300623.SZ,20200306,36.7,38.5,36.43,37.28,37.4,-0.12,-0.3209,94703.26,356894.944
300623.SZ,20200309,36.0,36.6,34.66,34.81,37.28,-2.47,-6.6255,91923.35,327624.403
300623.SZ,20200310,34.5,37.5,34.47,37.37,34.81,2.56,7.3542,131629.78,478300.344
300623.SZ,20200311,37.29,37.59,35.43,35.43,37.37,-1.94,-5.1913,112204.71,410794.626
300623.SZ,20200312,34.97,36.48,34.1,35.58,35.43,0.15,0.4234,90854.04,324288.87
300623.SZ,20200313,34.21,37.48,34.0,36.58,35.58,1.0,2.8106,129767.24,469645.666
300623.SZ,20200316,36.89,37.6,34.64,34.64,36.58,-1.94,-5.3034,134001.87,487923.767
300623.SZ,20200317,35.5,35.95,32.51,35.1,34.64,0.46,1.3279,108394.53,372745.519
300623.SZ,20200318,35.48,37.38,35.01,35.72,35.1,0.62,1.7664,137073.98,498210.273
300623.SZ,20200319,36.14,38.55,35.7,38.5,35.72,2.78,7.7828,160409.0,593753.688
300623.SZ,20200320,39.0,39.0,37.15,37.78,38.5,-0.72,-1.8701,128450.34,487832.843
300623.SZ,20200323,36.22,36.56,34.0,34.0,37.78,-3.78,-10.0053,92137.35,321766.042
300623.SZ,20200324,34.88,34.99,31.58,33.15,34.0,-0.85,-2.5,89881.48,300034.938
300623.SZ,20200325,34.11,35.12,34.09,34.35,33.15,1.2,3.6199,79609.3,275034.818
300623.SZ,20200326,33.98,34.98,33.59,33.6,34.35,-0.75,-2.1834,51438.25,175858.218
300623.SZ,20200327,34.27,34.35,32.53,32.64,33.6,-0.96,-2.8571,52023.36,172974.501
300623.SZ,20200330,31.59,31.8,30.19,31.07,32.64,-1.57,-4.81,61494.4,190937.696
300623.SZ,20200331,31.95,32.83,31.18,31.36,31.07,0.29,0.9334,52190.98,166705.148
300623.SZ,20200401,31.6,33.4,31.13,32.36,31.36,1.0,3.1888,73560.58,240276.183
300623.SZ,20200402,32.24,34.31,32.02,34.09,32.36,1.73,5.3461,80370.13,267848.651
300623.SZ,20200403,33.88,34.23,33.25,33.56,34.09,-0.53,-1.5547,50106.72,168815.853
300623.SZ,20200407,34.31,34.97,33.71,34.2,33.56,0.64,1.907,75789.66,258518.204
